|   Modelo   |   Geração  |           Características          |                     Desempenho                     | Construção |
| Core i3    | 10ª Geração | 4/8 threads, frequência base de 2.9 GHz - 4.2 GHz, 8 MB de cache.                   | Adequado para tarefas diárias e multitarefas leves. |   14 nm    |
| Core i3    | 11ª Geração | 4/8 threads, frequência base de 3.0 GHz - 4.6 GHz, 12 MB de cache.                  | Oferece bom desempenho para tarefas diárias.        |   10 nm    |
| Core i5    | 10ª Geração | 6/12 threads, frequência base de 2.9 GHz - 4.8 GHz, 12 MB de cache.                  | Oferece bom desempenho para jogos e multitarefas.   |   14 nm    |
| Core i5    | 11ª Geração | 6/12 threads, frequência base de 2.5 GHz - 4.6 GHz, 12 MB de cache.                  | Ideal para tarefas exigentes e jogos.               |   10 nm    |
| Core i7    | 10ª Geração | 8/16 threads, frequência base de 2.6 GHz - 5.1 GHz, 16 MB de cache.                  | Desempenho de alto nível para multitarefas pesadas. |   14 nm    |
| Core i7    | 11ª Geração | 8/16 threads, frequência base de 2.8 GHz - 5.0 GHz, 16 MB de cache.                  | Oferece excelente desempenho em todas as tarefas.   |   10 nm    |
| Core i9    | 10ª Geração | 8/16 threads, frequência base de 3.6 GHz - 5.3 GHz, 20 MB de cache.                  | Desempenho excepcional para tarefas exigentes.      |   14 nm    |
| Core i9    | 11ª Geração | 8/16 threads, frequência base de 2.8 GHz - 5.0 GHz, 24.75 MB de cache.               | Desempenho de elite para jogos e criação de conteúdo.|   10 nm    |
| Core i9 HX | 11ª Geração | 8/16 threads, frequência base de 2.5 GHz - 5.4 GHz, 24.75 MB de cache.               | Potente para jogos e cargas de trabalho pesadas.    |   10 nm    |
| Core i9 HK | 10ª Geração | 8/16 threads, frequência base de 2.4 GHz - 5.3 GHz, 16 MB de cache.                  | Desempenho extremo para jogos e overclocking.       |   14 nm    |
| Core i9 H  | 10ª Geração | 8/16 threads, frequência base de 2.4 GHz - 5.3 GHz, 16 MB de cache.                  | Potência e eficiência para laptops premium.         |   14 nm    |
| Core i9 U  | 11ª Geração | 8/16 threads, frequência base de 2.8 GHz - 5.0 GHz, 24 MB de cache.                  | Excelente desempenho para laptops ultrafinos.       |   10 nm    |
| Core i9 P  | 10ª Geração | 8/16 threads, frequência base de 2.5 GHz - 5.3 GHz, 16 MB de cache.                  | Desempenho de ponta para estações de trabalho móveis.|   14 nm    |
| Core i9 G7 | 10ª Geração | 4/8 threads, frequência base de 3.1 GHz - 4.1 GHz, 12 MB de cache.                   | Desempenho gráfico e de CPU para laptops gamers.    |   14 nm    |
| Core i9 NG7| 11ª Geração | 4/8 threads, frequência base de 3.0 GHz - 4.0 GHz, 12 MB de cache.                   | Alto desempenho para laptops gamers.                |   10 nm    |
| Core i9 G4 | 10ª Geração | 4/8 threads, frequência base de 3.5 GHz - 4.9 GHz, 8 MB de cache.                    | Desempenho gaming para laptops finos e leves.       |   14 nm    |
| Core i9 G1 | 11ª Geração | 4/8 threads, frequência base de 3.5 GHz - 4.9 GHz, 8 MB de cache.                    | Desempenho de jogos e multitarefas em ultraportáteis.|   10 nm    |
| Core i9 Y  | 10ª Geração | 4/8 threads, frequência base de 1.3 GHz - 4.5 GHz, 8 MB de cache.                    | Desempenho eficiente para dispositivos ultrafinos.  |   14 nm    |
| Core i9 HQ | 10ª Geração | 8/16 threads, frequência base de 2.5 GHz - 5.3 GHz, 16 MB de cache.                  | Alto desempenho para laptops gamers e estações de trabalho móveis. | 14 nm |
| Core i9 M  | 10ª Geração | 8/16 threads, frequência base de 2.5 GHz - 5.0 GHz, 16 MB de cache.                  | Desempenho para laptops móveis de alto nível.       |   14 nm    |